phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Pseudomonadota,Bacteria,12130,PG_binding_1+Amidase_2,2477,20.42
Pseudomonadota,Bacteria,12130,PG_binding_3+Glyco_hydro_108,1970,16.241
Pseudomonadota,Bacteria,12130,SPOR+SLT,791,6.521
Pseudomonadota,Bacteria,12130,SH3_6+NLPC_P60,385,3.174
Pseudomonadota,Bacteria,12130,LysM+Amidase_3,362,2.984
Pseudomonadota,Bacteria,12130,SH3_3+NLPC_P60,193,1.591
Pseudomonadota,Bacteria,12130,PG_binding_1+Peptidase_M15,118,0.973
Pseudomonadota,Bacteria,12130,SH3_3+Amidase_2,109,0.899
Pseudomonadota,Bacteria,12130,PG_binding_1+Peptidase_M23,53,0.437
Pseudomonadota,Bacteria,12130,PG_binding_1+Glucosaminidase,17,0.14
